Number,E-Word,S-Word,Val-Mn-All,Val-Sd-All,Aro-Mn-All,Aro-Sd-All,Dom-Mn-All,Dom-Sd-All,Nlett,Nsyll ,GClass,Freq ,Neigh,Fam ,Con ,Imag 
379,seasick,mareado,2.01,1.30,5.33,2.28,2.60,1.90,7,4,V,2.5,3,UnAv,UnAv,UnAv
58,butterfly,mariposa,6.74,1.76,4.60,2.16,5.31,2.32,8,4,N,6.25,0,5.95,6.23,6.65
394,sissy,mariquita,5.80,1.93,4.60,2.05,5.17,2.18,9,4,N,6.61,0,5.05,5.42,6.02
198,hammer,martillo,4.38,1.49,4.92,1.83,5.48,1.90,8,3,N,5.36,1,5.55,5.86,5.83
867,massacre,masacre,1.32,1.21,7.01,2.65,1.92,1.94,7,3,N,3.21,0,UnAv,UnAv,UnAv
935,pet,mascota,7.33,1.83,5.58,2.44,5.84,2.20,7,3,N,1.07,0,UnAv,UnAv,UnAv
599,masturbate,masturbarse,5.79,2.13,6.41,2.07,6.49,2.08,11,4,V,0,0,UnAv,UnAv,UnAv
397,slaughter,matanza,1.66,1.62,7.70,1.70,2.39,2.03,7,3,N,8.39,0,3.88,4.88,5.05
868,material,material,5.01,1.74,4.19,2.02,5.40,1.99,8,3,N,63.39,1,6.3,2.09,UnAv
869,medicine,medicina,5.38,2.43,5.56,2.12,4.56,2.47,8,4,N,43.39,0,5.34,4.9,5.16
226,improve,mejorar,7.46,1.22,6.41,2.08,6.69,1.82,7,3,V,24.29,0,5.93,3.35,2.99
870,melody,melodía,7.71,1.22,5.31,2.63,6.39,1.99,7,4,N,6.61,1,5.07,4.6,4.75
274,memory,memoria,6.41,1.82,5.14,1.94,5.26,2.20,7,3,N,158.04,1,6.17,4.49,2.38
36,beggar,mendigo,2.92,1.59,5.60,1.84,3.69,1.95,7,3,N,4.46,1,5.98,6.15,6.28
82,contempt,menosprecio,1.72,1.54,5.80,2.43,3.50,2.33,11,4,N,3.39,0,3.89,4.5,3.9
877,mind,mente,6.41,1.75,5.81,1.77,5.93,2.21,5,2,N,72.32,4,6.38,3.61,2.86
257,lie,mentira,1.88,1.57,6.51,2.23,4.32,2.61,7,3,N,38.57,0,6.71,4.3,3.74
685,chin,mentón,4.67,1.35,4.38,1.57,4.47,1.58,6,2,N,6.25,1,2.91,5.9,4.61
866,market,mercado,5.41,1.75,4.98,2.13,5.07,1.92,7,3,N,101.61,2,5.87,5.24,5.66
238,jelly,mermelada,5.93,2.07,4.47,1.89,5.71,2.09,9,4,N,2.68,0,3.9,5.86,7
283,month,mes,5.03,1.14,4.61,1.80,4.60,1.91,3,1,N,103.04,7,6.72,4.61,3.08
426,table,mesa,4.80,1.26,4.21,1.71,5.13,1.68,4,2,N,172.14,11,6.58,6.13,6.77
874,metal,metal,4.98,1.40,4.42,1.81,4.97,1.85,5,2,N,18.39,2,5.83,4.76,5.31
875,method,método,5.07,1.54,4.68,1.80,4.76,1.68,6,3,N,61.96,1,5.88,3.44,2.44
8,afraid,miedoso,2.57,1.48,6.09,2.01,3.67,2.17,7,3,A/N,1.07,1,UnAv,UnAv,UnAv
792,honey,miel,5.46,2.19,4.06,2.16,5.66,2.20,4,1,N,18.39,5,5.48,6.58,5.32
279,miracle,milagro,6.84,1.90,5.86,2.23,3.46,2.48,7,3,N,36.07,0,5.29,2.97,3.11
278,millionaire,millonario,6.57,2.02,6.00,2.34,4.89,2.62,10,4,N,5.54,1,4.85,5.28,4.85
879,misery,miseria,1.47,1.22,5.57,2.70,3.10,2.19,7,3,N,30.18,1,4.95,3.3,4.39
891,mystic,místico,5.64,1.86,4.98,1.90,4.87,1.90,7,3,A/N,6.96,1,4.3,3.39,3.78
280,modest,modesto,6.31,1.85,4.24,1.94,5.86,1.84,7,3,A,11.25,3,UnAv,UnAv,UnAv
277,mildew,moho,2.61,1.84,4.87,2.29,4.33,2.27,4,2,N,1.96,9,UnAv,UnAv,UnAv
882,mold,molde,4.76,1.46,4.02,1.82,5.46,2.07,5,2,N,2.68,0,UnAv,UnAv,UnAv
727,disturb,molestar,2.33,1.32,6.37,1.57,4.02,2.15,8,3,V,5.54,1,5.95,3.58,4.66
627,ache,molestia,2.17,1.31,6.00,1.73,3.82,1.80,8,3,N,6.96,1,5.95,3.41,4.35
1032,windmill,molino,5.36,1.42,4.22,1.85,4.61,1.95,6,3,N,8.57,3,5.6,5.45,6.04
281,moment,momento,6.00,1.76,5.31,2.03,5.41,2.17,7,3,N,474.46,2,UnAv,UnAv,UnAv
692,coin,moneda,6.01,1.83,5.72,1.81,5.64,1.98,6,3,N,19.64,2,6.31,5.82,6.23
909,nun,monja,3.79,1.81,3.64,1.86,4.79,2.00,5,2,N,9.64,4,6.01,6.55,6
97,cute,mono,5.29,2.15,5.10,1.95,4.49,1.76,4,2,A/N,18.21,16,5.85,5.05,6.56
287,mountain,montaña,6.49,1.66,4.99,2.27,4.84,1.99,7,3,N,34.46,2,6.38,5.86,5.26
884,moral,moral,6.12,1.80,5.31,1.80,6.09,1.78,5,2,N,100.89,6,5.19,2.31,2.07
284,morbid,morboso,4.29,2.46,6.36,1.91,4.69,2.00,7,3,A,3.04,1,UnAv,UnAv,UnAv
285,morgue,morgue,2.71,1.95,5.33,2.20,3.21,1.92,6,2,N,0,0,UnAv,UnAv,UnAv
885,mosquito,mosquito,2.54,1.54,5.84,2.14,4.28,2.52,8,3,N,3.04,1,UnAv,UnAv,UnAv
148,engine,motor,4.83,1.45,4.91,2.04,4.63,1.84,5,2,N,33.21,1,5.25,5.45,5.67
881,mobility,movilidad,7.16,1.75,6.23,2.37,6.14,2.10,9,4,N,7.5,1,3.75,3.21,3.62
886,mucus,mucosidad,2.58,1.51,4.69,1.86,4.08,1.84,9,4,N,1.25,0,UnAv,UnAv,UnAv
773,grin,mueca,5.20,1.66,5.11,1.47,5.29,1.76,5,2,N,12.5,5,4.7,4.84,5.48
100,death,muerte,1.23,0.64,6.46,2.76,1.93,1.89,6,2,N,257.32,4,6.53,4.09,4.32
588,dead,muerto,1.17,0.57,5.99,2.89,1.98,1.90,6,2,A/N,123.39,7,6.14,5.53,6.03
772,grime,mugre,1.93,1.45,5.21,2.41,5.04,2.37,5,2,N,2.32,0,UnAv,UnAv,UnAv
498,woman,mujer,6.40,1.89,4.89,2.12,5.51,2.02,5,2,N,493.39,0,6.73,6.44,6.61
708,crutch,muleta,2.87,1.74,4.50,1.95,4.24,2.07,6,3,N,1.07,3,UnAv,UnAv,UnAv
931,penalty,multa,1.98,1.51,6.67,2.12,3.62,2.43,5,2,N,6.79,2,UnAv,UnAv,UnAv
500,world,mundo,6.57,1.96,6.12,2.10,3.90,2.28,5,2,N,675.54,3,6.44,5.25,5.56
728,doll,muñeca,6.24,1.78,4.48,1.93,5.79,2.18,6,3,N,14.46,1,6.82,5.29,6.68
290,muscular,musculoso,5.04,1.94,4.89,1.81,5.22,2.13,9,4,A,1.61,1,UnAv,UnAv,UnAv
889,museum,museo,6.26,1.80,4.52,2.10,5.44,1.74,5,3,N,20.71,2,6.03,5.58,6.23
291,music,música,8.16,1.24,6.62,2.56,6.61,2.31,6,3,N,106.43,1,6.65,4.81,5.21
890,mutation,mutación,3.27,1.94,5.24,2.32,3.00,2.02,8,4,N,6.43,1,4.3,4.59,4.01
292,mutilate,mutilar,1.36,0.94,7.01,2.28,2.93,2.17,7,3,V,0.71,0,UnAv,UnAv,UnAv
576,swimmer,nadador,5.92,1.57,5.40,1.88,5.04,1.79,7,3,N,1.79,0,UnAv,UnAv,UnAv
894,narcotic,narcótico,2.92,2.22,5.71,2.34,4.32,2.59,9,4,N,0.89,1,UnAv,UnAv,UnAv
896,natural,natural,7.17,1.71,4.26,2.52,5.19,2.35,7,3,N,121.61,0,UnAv,UnAv,UnAv
293,nature,naturaleza,8.03,1.19,5.38,2.71,4.58,2.63,10,5,N,136.25,0,5.88,3.59,5.86
686,christmas,navidad,6.69,2.23,6.10,2.29,5.09,2.43,7,3,N,17.68,1,6.82,5.5,5.34
294,nectar,néctar,6.10,1.81,4.60,1.86,5.28,1.90,6,2,N,1.61,1,UnAv,UnAv,UnAv
898,neglect,negligencia,1.88,1.14,6.06,2.25,3.17,2.33,11,4,N,3.04,0,UnAv,UnAv,UnAv
543,black,negro,4.87,2.48,4.47,2.23,4.81,2.30,5,2,A/N,130.36,1,5.8,5.26,6.5
811,infant,nene,7.36,1.82,5.40,2.32,5.62,2.16,4,2,N,2.32,5,5.32,4.84,5.95
899,nervous,nervioso,3.26,1.86,7.36,1.70,3.02,2.13,8,3,A,36.07,1,UnAv,UnAv,UnAv
900,neurotic,neurótico,2.57,1.48,6.51,1.84,3.94,2.22,9,4,A/N,2.14,1,UnAv,UnAv,UnAv
799,icebox,nevera,5.44,1.44,4.84,1.58,5.50,1.77,6,3,N,9.46,1,6.45,6.27,6.22
575,snow,nieve,7.00,1.68,5.34,2.32,4.40,2.28,5,2,N,39.29,1,5.41,6.23,6.35
70,child,niño,7.34,1.79,6.40,2.15,5.38,2.13,4,2,N,195.89,3,6.48,5.9,6.39
893,name,nombre,5.72,1.46,4.58,1.75,5.41,2.04,6,2,N,272.5,1,6.92,4.25,3.56
901,news,noticias,5.16,1.79,5.77,1.93,3.69,2.03,8,3,N,0,0,UnAv,UnAv,UnAv
670,bride,novia,6.63,2.04,5.79,2.25,5.04,2.08,5,2,N,31.07,2,6.08,5.76,5.68
424,sweetheart,novio,7.49,2.14,6.70,2.41,5.13,2.17,5,2,N,23.57,2,6.56,5.24,4.86
533,clouds,nubes,6.37,2.26,4.21,2.21,3.51,2.51,5,2,N,0,0,UnAv,UnAv,UnAv
923,overcast,nublado,3.27,2.02,3.61,2.09,3.00,2.03,7,3,A,3.21,1,UnAv,UnAv,UnAv
836,knot,nudo,3.96,1.69,4.76,1.96,5.19,1.82,4,2,N,9.64,9,4.5,4.72,4.99
907,nourish,nutrir,6.30,1.70,5.12,1.85,5.91,1.92,6,2,V,0.89,1,UnAv,UnAv,UnAv
912,obey,obedecer,3.84,1.85,5.28,1.79,4.89,2.33,8,4,V,7.68,0,4.81,4.35,4.16
911,obesity,obesidad,2.28,1.51,5.22,2.48,3.73,2.15,8,4,N,6.25,0,UnAv,UnAv,UnAv
914,obscene,obsceno,2.51,1.52,5.79,2.00,4.12,1.91,7,3,A,3.21,1,UnAv,UnAv,UnAv
184,gift,obsequio,7.80,1.28,6.29,2.01,5.37,2.38,8,3,N,2.68,0,4.19,4.3,5.52
915,obsession,obsesión,2.78,1.58,6.09,2.14,3.09,2.15,8,4,N,25.71,1,6.47,3.4,4.09
421,sunset,ocaso,6.39,2.63,4.54,2.59,4.19,2.60,5,3,N,5.18,1,UnAv,UnAv,UnAv
297,ocean,océano,7.54,1.79,5.36,2.89,4.38,2.79,6,4,N,18.21,2,5.32,5.55,6.43
201,hate,odiar,1.86,1.46,6.48,2.17,4.23,2.39,5,2,V,4.64,0,5.96,3.58,4.04
202,hatred,odio,1.74,1.17,7.01,2.03,3.67,2.44,4,2,N/V,34.29,2,6.27,4.46,3.92
917,offend,ofender,2.10,1.32,5.96,1.96,4.57,2.07,7,3,V,3.21,0,UnAv,UnAv,UnAv
568,office,oficina,4.09,1.71,4.64,2.05,5.08,2.19,7,4,N,28.04,0,5.65,5.2,5.95
832,kettle,olla,4.66,1.49,4.16,2.10,5.38,1.97,4,2,N,3.57,3,5.55,5.91,6.16
919,option,opción,6.08,1.96,5.70,2.00,5.94,2.01,6,3,N,25.18,1,5.38,3.61,3.86
298,opinion,opinión,6.34,1.72,5.69,1.94,5.71,2.11,7,4,N,113.39,1,6.17,3.81,3.32
683,chance,oportunidad,7.91,1.30,7.07,2.08,5.31,2.05,11,5,N,53.04,0,5.89,3.7,2.78
918,optimism,optimismo,8.31,0.93,6.38,2.56,6.33,2.08,9,4,N,14.11,0,5.52,3.63,4.1
1014,tidy,ordenado,6.57,1.36,4.19,2.04,6.78,1.75,8,4,A/V,11.61,1,UnAv,UnAv,UnAv
552,computer,ordenador,5.50,1.89,5.06,1.80,5.27,1.99,9,4,N,50.18,0,6.46,5.9,6.05
920,orgasm,orgasmo,8.06,1.46,8.16,1.18,5.13,2.46,7,3,N,24.64,0,6.05,5.71,4.53
327,pride,orgullo,5.12,2.34,5.96,1.78,5.40,1.91,7,3,N,36.25,0,6.31,4.77,4.56
334,proud,orgulloso,5.53,2.36,5.80,1.99,5.82,2.11,9,4,A,11.96,1,UnAv,UnAv,UnAv
617,urine,orina,2.82,2.02,4.64,2.06,5.29,2.28,5,3,N,10.18,1,5.05,6.71,6.42
191,gold,oro,6.68,2.15,5.76,1.95,5.04,2.36,3,2,N,90,7,5.25,6.01,5.56
299,orchestra,orquesta,6.24,1.95,5.26,2.36,4.64,2.09,8,3,N,9.29,0,4.82,5.83,6.1
714,dark,oscuro,3.71,2.13,5.06,2.40,4.04,2.12,6,3,A,49.46,2,UnAv,UnAv,UnAv
29,autumn,otoño,5.17,2.05,4.44,1.99,4.19,2.45,5,3,N,31.43,1,5.59,5.73,5.96
367,rusty,oxidado,3.11,1.73,3.97,1.87,4.34,2.29,7,4,A,0,0,UnAv,UnAv,UnAv
929,patient,paciente,4.36,2.29,4.88,2.04,4.78,2.27,8,3,N/A,47.86,2,4.6,4.28,5.23
161,father,padre,7.00,2.27,4.86,2.05,4.94,2.27,5,2,N,383.57,2,6.55,6,6.79
38,bird,pájaro,6.43,1.51,4.79,1.78,4.53,1.79,6,3,N,20.71,1,6.5,4.51,UnAv
302,palace,palacio,6.91,1.46,5.03,2.10,5.00,2.13,7,3,N,50.71,1,5.14,5.71,5.89
730,dove,paloma,6.32,2.16,4.38,2.33,5.04,2.26,6,3,N,10.89,1,6.17,6.38,6.38
649,banner,pancarta,5.49,1.28,5.17,1.97,5.08,1.78,8,3,N,3.57,0,UnAv,UnAv,UnAv
601,panic,pánico,1.53,0.93,7.72,1.82,2.43,1.99,6,3,N,21.25,1,6.14,2.68,4.94
1004,swamp,pantano,3.97,2.12,4.81,1.95,3.94,1.87,7,3,N,4.64,0,4.89,5.67,6.07
830,kerchief,pañuelo,4.33,1.56,4.17,1.69,5.36,1.92,7,3,N,18.93,1,6.25,5.93,6
303,paper,papel,4.98,1.17,3.89,1.93,5.73,2.21,5,2,N,183.57,2,6.66,5.78,6.34
578,umbrella,paraguas,4.27,1.73,3.99,1.83,5.23,2.16,8,3,N,12.5,1,6.14,5.92,5.97
304,paradise,paraíso,8.24,1.32,5.70,2.89,5.70,2.59,7,4,N,28.75,1,5.85,4.28,6.2
926,paralysis,parálisis,1.33,0.81,5.16,2.73,2.16,2.04,9,4,N,6.43,1,4.76,5.2,5.16
506,couple,pareja,7.91,1.40,7.08,1.76,5.60,2.03,6,3,N,69.29,1,6.75,4.56,6.34
927,part,parte,4.66,0.94,4.52,1.36,5.04,1.39,5,2,N,604.82,6,5.72,2.1,3.5
928,passage,pasaje,5.23,1.41,4.92,1.67,4.74,1.87,6,3,N,9.11,3,5.01,4.21,4.41
701,corridor,pasillo,4.37,1.46,4.47,1.82,4.74,2.29,7,3,N,51.79,1,6.73,5.5,6.27
306,passion,pasión,7.84,1.35,7.96,1.17,4.96,2.52,6,3,N,58.04,1,5.93,3.51,5.28
524,pasta,pasta,6.22,1.83,4.92,1.74,5.62,1.97,5,2,N,16.96,10,5.64,3.92,5.66
314,pie,pastel,7.18,1.47,5.28,1.97,5.69,2.08,6,2,N,8.39,0,6.35,5.72,6.62
307,patent,patente,4.77,1.26,4.53,1.60,5.04,1.68,7,3,N/A,15.18,2,2.96,3.15,UnAv
930,patriot,patriota,4.91,2.16,5.52,1.72,5.33,2.03,8,3,N,1.96,0,UnAv,UnAv,UnAv
253,leisurely,pausado,5.19,1.74,3.23,2.04,5.33,2.04,7,3,A,1.96,2,UnAv,UnAv,UnAv
308,peace,paz,8.11,1.62,3.49,2.76,5.71,2.52,3,1,N,112.14,6,6.31,4.09,3.71
392,sin,pecado,3.92,2.12,5.54,2.01,4.92,1.90,6,3,N,29.64,7,5.38,3.71,3.37
393,sinful,pecaminoso,3.66,2.16,5.57,1.79,4.54,2.11,10,5,A,1.25,1,UnAv,UnAv,UnAv
288,movie,película,7.14,1.49,5.41,2.34,5.87,2.03,8,4,N,107.5,1,6.57,5.26,6.35
713,danger,peligro,2.02,1.61,7.56,1.71,2.93,2.03,7,3,N,78.75,0,5.87,3.42,4.47
938,pinch,pellizco,3.17,1.92,5.89,1.76,4.20,1.94,8,3,N,1.96,0,UnAv,UnAv,UnAv
195,grief,pena,1.60,1.04,4.80,2.62,3.22,1.91,4,2,N,83.57,19,5.8,4.09,4.26
932,penis,pene,5.93,1.76,6.54,2.02,5.54,1.91,4,2,N,16.79,8,4.48,6.54,6.41
140,embarrassed,penoso,2.13,1.64,5.31,2.24,3.88,2.08,6,3,N,5.18,3,UnAv,UnAv,UnAv
1013,thought,pensamiento,5.91,1.91,5.51,1.76,5.56,2.17,11,4,N,71.96,0,6.17,2.94,3.03
851,loser,perdedor,2.10,1.27,5.33,2.23,3.72,2.09,8,3,N,2.5,0,UnAv,UnAv,UnAv
852,lost,perdido,2.28,1.44,6.18,2.31,2.73,2.02,7,3,A/V,119.82,2,UnAv,UnAv,UnAv
843,lazy,perezoso,3.62,1.84,3.37,2.07,4.67,1.95,8,4,A,2.86,1,UnAv,UnAv,UnAv
310,perfection,perfección,6.58,1.99,5.83,2.11,5.78,2.08,10,4,N,24.29,1,5.19,3.38,2.33
934,perfume,perfume,7.03,1.73,4.88,2.22,5.59,2.10,7,3,N,18.39,0,6,5.4,6.02
511,dog,perro,6.50,2.03,5.83,2.15,5.08,2.07,5,2,N,60.54,7,6.55,6.4,6.56
311,person,persona,6.89,1.58,5.27,2.21,5.58,2.01,7,3,N,171.79,0,7,5.49,6.22
741,evil,perverso,2.59,1.88,6.12,1.56,3.90,1.99,8,3,A,3.93,1,UnAv,UnAv,UnAv
312,pervert,pervertido,1.96,1.52,6.54,1.96,3.42,2.13,10,4,,0,0,UnAv,UnAv,UnAv
295,nightmare,pesadilla,1.80,1.53,7.31,2.03,2.30,1.97,9,4,N,16.07,0,6.45,3.45,5.4
656,bereavement,pesar,3.04,1.97,5.41,2.19,4.33,2.22,5,2,N/V,14.64,10,5.52,3.42,4.46
348,regretful,pesaroso,2.86,1.76,4.24,1.94,4.00,1.77,8,4,A,0.36,1,UnAv,UnAv,UnAv
559,fish,pescado,5.70,2.10,4.63,1.78,5.09,2.06,7,3,N,18.93,1,6.55,5.25,6.9
188,gloom,pesimismo,2.06,1.65,4.61,2.25,3.41,2.18,9,4,N,9.11,0,5.57,3.89,3.96
313,pest,peste,1.53,1.38,6.20,2.50,3.01,2.24,5,2,N,10.54,5,4.05,3.84,4.06
903,nipple,pezón,6.14,1.61,5.42,2.38,5.27,1.72,5,2,N,2.32,1,UnAv,UnAv,UnAv
757,foot,pie,4.67,1.75,4.58,2.00,5.19,2.37,3,1,N,132.68,6,6.44,6.6,5.05
180,fur,piel,6.19,1.73,4.90,2.21,5.23,2.17,4,1,N,128.04,4,6.19,5.29,6.46
825,item,pieza,4.84,1.39,4.12,1.80,5.12,1.70,5,2,N,43.39,2,5.19,3.36,4.61
946,prick,pinchazo,2.18,1.39,6.69,1.91,3.70,2.04,8,3,N,3.75,0,UnAv,UnAv,UnAv
924,paint,pintura,6.20,1.82,5.20,2.19,5.64,1.87,7,3,N,39.64,2,4.41,4.46,6.25
262,louse,piojo,1.97,1.20,5.64,2.26,3.64,2.13,5,2,N,0,0,UnAv,UnAv,UnAv
256,lice,piojos,1.90,1.23,6.32,2.10,3.46,2.16,6,2,N,2.68,0,4.44,6.08,4.72
513,fireworks,pirotecnia,5.06,2.28,6.48,2.02,3.79,2.15,10,4,N,0.36,0,UnAv,UnAv,UnAv
939,pistol,pistola,1.83,1.23,7.08,1.82,3.58,2.69,7,3,N,26.79,0,4.63,5.76,6
949,python,pitón,2.93,1.89,6.82,2.03,3.16,2.17,5,2,N,0.36,1,UnAv,UnAv,UnAv
526,pizza,pizza,7.07,1.56,5.31,2.15,6.00,1.91,5,2,N,0.89,3,UnAv,UnAv,UnAv
317,pleasure,placer,8.48,1.13,7.57,1.99,5.69,2.58,6,2,N,81.25,0,5.65,2.88,5
316,plant,planta,6.46,1.74,3.80,2.12,5.28,2.21,6,2,N,38.39,3,6.61,4.69,5.95
34,beach,playa,8.07,1.26,5.93,2.67,6.28,2.13,5,2,N,41.96,5,6.36,6.35,6.43
842,lawsuit,pleito,2.81,1.71,6.07,2.30,3.64,1.69,6,2,N,6.07,0,3.68,4.95,3.75
322,poverty,pobreza,1.54,1.15,5.89,2.19,3.07,2.22,7,3,N,21.25,0,6.59,3.84,5.51
323,power,poder,5.73,1.99,6.09,1.88,5.70,2.48,5,2,N,391.61,3,6,3.29,3.6
324,powerful,poderoso,5.37,2.39,5.40,2.16,5.53,2.56,8,4,A,20.54,1,5.77,3.3,4.33
365,rotten,podrido,1.91,1.23,5.16,2.23,4.17,2.16,7,3,A,4.46,1,UnAv,UnAv,UnAv
318,poetry,poesía,7.23,1.72,5.60,2.32,5.36,2.23,6,4,N,51.96,1,5.41,5.98,5.57
319,poison,ponzoña,3.39,1.99,4.37,1.84,4.16,1.98,7,3,N,0.36,1,UnAv,UnAv,UnAv
182,garbage,porquería,1.66,1.06,5.37,2.34,5.30,2.30,9,4,N,8.21,1,5.44,3.3,5.65
942,poster,póster,5.49,1.42,4.63,1.53,4.96,1.60,6,2,N,1.96,1,UnAv,UnAv,UnAv
325,prairie,pradera,7.49,1.38,5.03,2.62,5.59,2.21,7,3,N,3.57,0,5.37,6.03,6.42
553,cliff,precipicio,2.60,1.87,6.91,2.14,3.28,2.19,10,4,N,2.86,0,4.2,5.16,5.6
85,controlling,predominante,4.70,1.83,5.14,1.82,4.96,1.81,12,5,A,0,0,UnAv,UnAv,UnAv
762,garment,prenda,5.88,1.67,4.54,1.90,5.43,2.03,6,2,N,10.71,1,6.03,3.8,5.65
944,pressure,presión,2.70,1.79,7.08,1.92,4.07,2.34,7,3,N,68.39,1,4.69,3.35,3.62
945,prestige,prestigio,7.17,1.61,6.09,2.08,6.44,1.94,9,3,N,33.75,0,4.95,4.31,3.08
993,spring,primavera,7.53,1.38,5.99,2.21,4.76,2.46,9,4,N,43.93,0,6.75,5.46,5.65
329,prison,prisión,1.98,1.30,5.56,2.64,3.56,2.49,7,3,N,29.29,1,5.3,5.7,5.6
330,privacy,privacidad,6.08,2.15,4.88,2.28,6.11,2.22,10,4,N,0,0,UnAv,UnAv,UnAv
454,trouble,problema,1.89,1.17,6.56,1.97,3.81,2.19,8,3,N,210,0,6.47,2.83,4
947,progress,progreso,7.29,1.59,6.43,2.04,5.59,2.17,8,3,N,30.18,0,UnAv,UnAv,UnAv
332,promotion,promoción,5.89,1.76,5.58,1.90,5.29,1.47,9,4,N,16.96,1,5.57,3.98,3.62
333,protected,protegido,6.69,1.89,4.01,2.38,6.10,2.42,9,4,N,11.96,1,4.54,4.29,3.96
828,journal,publicación,5.31,1.74,4.91,1.91,5.06,1.92,11,5,N,20.71,1,5.25,4.08,4.66
477,village,pueblo,6.52,1.66,5.21,2.16,5.60,1.72,6,2,N,232.86,2,6.57,4.68,6.03
130,door,puerta,5.07,1.47,4.36,1.96,5.18,1.97,6,2,N,278.04,6,6.71,6.21,5.94
834,kick,puntapié,3.24,1.76,5.83,1.74,4.49,2.09,8,3,N,2.14,1,UnAv,UnAv,UnAv
602,pus,pus,1.70,1.15,5.91,2.08,3.83,2.15,3,1,N,1.61,9,UnAv,UnAv,UnAv
793,hooker,puta,3.24,2.13,5.46,2.45,4.11,2.27,4,2,N,21.07,11,5.74,5.88,5.66
337,putrid,putrefacto,1.64,1.03,5.36,2.23,3.94,2.30,10,4,N,1.07,1,UnAv,UnAv,UnAv
774,gripe,queja,2.84,1.42,5.67,1.65,4.73,1.83,5,2,N,13.04,3,5.27,3.86,3.78
586,burn,quemadura,1.76,1.14,6.83,1.93,3.54,2.32,9,4,N,0.54,0,UnAv,UnAv,UnAv
243,kerosene,queroseno,3.19,1.85,5.04,1.88,4.00,2.05,9,4,N,0.89,0,UnAv,UnAv,UnAv
340,rabies,rabia,2.33,1.51,7.47,1.83,3.60,2.44,5,2,N,22.86,5,6.18,4.12,4.18
955,radiator,radiador,5.50,1.81,3.97,1.81,5.39,2.17,8,3,N,1.61,0,UnAv,UnAv,UnAv
