TEST A/B,File name,New file name,Check-count,YouTube file name,Check-count,Cluster,Seed,Episode,From,To
A,sequence_cluster_0_s10_ep1_196_296.mp4,A01,1,A01.mp4,1,0,10,1,196,296
A,sequence_cluster_0_s10_ep1_554_614.mp4,A02,1,A02.mp4,1,0,10,1,554,614
B,sequence_cluster_0_s10_ep2_435_535.mp4,B01,1,B01.mp4,1,0,10,2,435,535
A,sequence_cluster_0_s20_ep1_395_495.mp4,A03,1,A03.mp4,1,0,20,1,395,495
B,sequence_cluster_0_s20_ep5_330_408.mp4,B02,1,B02.mp4,1,0,20,5,330,408
B,sequence_cluster_0_s30_ep5_496_596.mp4,B03,1,B03.mp4,1,0,30,5,496,596
A,sequence_cluster_1_s0_ep4_259_339.mp4,A04,1,A04.mp4,1,1,0,4,259,339
A,sequence_cluster_1_s1_ep3_197_297.mp4,A05,1,A05.mp4,1,1,1,3,197,297
B,sequence_cluster_1_s2_ep2_205_285.mp4,B04,1,B04.mp4,1,1,2,2,205,285
B,sequence_cluster_1_s20_ep7_155_255.mp4,B05,1,B05.mp4,1,1,20,7,155,255
A,sequence_cluster_1_s30_ep3_137_237.mp4,A06,1,A06.mp4,1,1,30,3,137,237
B,sequence_cluster_1_s30_ep6_236_336.mp4,B06,1,B06.mp4,1,1,30,6,236,336
A,sequence_cluster_2_s0_ep5_101_156.mp4,A07,1,A07.mp4,1,2,0,5,101,156
B,sequence_cluster_2_s1_ep1_68_128.mp4,B07,1,B07.mp4,1,2,1,1,68,128
A,sequence_cluster_2_s1_ep3_113_170.mp4,A08,1,A08.mp4,1,2,1,3,113,170
B,sequence_cluster_2_s10_ep7_25_120.mp4,B08,1,B08.mp4,1,2,10,7,25,120
B,sequence_cluster_2_s20_ep7_150_211.mp4,B09,1,B09.mp4,1,2,20,7,150,211
A,sequence_cluster_2_s30_ep4_92_192.mp4,A09,1,A09.mp4,1,2,30,4,92,192
A,sequence_cluster_3_s0_ep0_128_208.mp4,A10,1,A10.mp4,1,3,0,0,128,208
A,sequence_cluster_3_s0_ep2_173_233.mp4,A11,1,A11.mp4,1,3,0,2,173,233
B,sequence_cluster_3_s20_ep0_187_247.mp4,B10,1,B10.mp4,1,3,20,0,187,247
A,sequence_cluster_3_s20_ep2_235_315.mp4,A12,1,A12.mp4,1,3,20,2,235,315
B,sequence_cluster_3_s30_ep0_138_218.mp4,B11,1,B11.mp4,1,3,30,0,138,218
B,sequence_cluster_3_s30_ep1_110_190.mp4,B12,1,B12.mp4,1,3,30,1,110,190
A,sequence_cluster_4_s0_ep0_67_121.mp4,A13,1,A13.mp4,1,4,0,0,67,121
A,sequence_cluster_4_s1_ep4_132_181.mp4,A14,1,A14.mp4,1,4,1,4,132,181
B,sequence_cluster_4_s2_ep7_94_148.mp4,B13,1,B13.mp4,1,4,2,7,94,148
B,sequence_cluster_4_s20_ep3_83_160.mp4,B14,1,B14.mp4,1,4,20,3,83,160
B,sequence_cluster_4_s30_ep2_78_125.mp4,B15,1,B15.mp4,1,4,30,2,78,125
A,sequence_cluster_4_s30_ep8_100_175.mp4,A15,1,A15.mp4,1,4,30,8,100,175
A,sequence_cluster_5_s0_ep1_194_278.mp4,A16,1,A16.mp4,1,5,0,1,194,278
A,sequence_cluster_5_s1_ep0_372_469.mp4,A17,1,A17.mp4,1,5,1,0,372,469
A,sequence_cluster_5_s10_ep1_388_478.mp4,A18,1,A18.mp4,1,5,10,1,388,478
B,sequence_cluster_5_s10_ep2_326_426.mp4,B16,1,B16.mp4,1,5,10,2,326,426
B,sequence_cluster_5_s10_ep6_209_253.mp4,B17,1,B17.mp4,1,5,10,6,209,253
B,sequence_cluster_5_s20_ep5_403_451.mp4,B18,1,B18.mp4,1,5,20,5,403,451
A,sequence_cluster_6_s0_ep5_0_52.mp4,A19,1,A19.mp4,1,6,0,5,0,52
A,sequence_cluster_6_s1_ep5_11_71.mp4,A20,1,A20.mp4,1,6,1,5,11,71
A,sequence_cluster_6_s20_ep5_159_219.mp4,A21,1,A21.mp4,1,6,20,5,159,219
B,sequence_cluster_6_s20_ep5_186_246.mp4,B19,1,B19.mp4,1,6,20,5,186,246
B,sequence_cluster_6_s30_ep0_120_180.mp4,B20,1,B20.mp4,1,6,30,0,120,180
B,sequence_cluster_6_s30_ep4_940_1000.mp4,B21,1,B21.mp4,1,6,30,4,940,1000
B,sequence_cluster_7_s10_ep1_186_266.mp4,B22,1,B22.mp4,1,7,10,1,186,266
A,sequence_cluster_7_s10_ep3_475_575.mp4,A22,1,A22.mp4,1,7,10,3,475,575
A,sequence_cluster_7_s30_ep4_218_279.mp4,A23,1,A23.mp4,1,7,30,4,218,279
B,sequence_cluster_7_s30_ep4_458_518.mp4,B23,1,B23.mp4,1,7,30,4,458,518
B,sequence_cluster_7_s30_ep5_395_445.mp4,B24,1,B24.mp4,1,7,30,5,395,445
A,sequence_cluster_7_s30_ep5_490_540.mp4,A24,1,A24.mp4,1,7,30,5,490,540